# debug_fl_allint v1.0 - mueve SOLO FL, 6 INT habilitados
# csv_cols=t_ms,fl_ticks,fr_ticks
# countdown 3...2...1
# hold - SOLO FL gira. fl_ticks debe subir, fr_ticks debe quedar ~0:
0,0,0
200,0,0
400,0,0
600,0,0
800,0,0
1000,0,0
1200,0,0
1400,0,0
1600,0,0
1800,0,0
2000,0,0
2200,0,0
2400,0,0
2600,0,0
2800,0,0
3000,0,0
3200,0,0
3400,0,0
3600,0,0
3800,0,0
4000,0,0
4200,0,0
4400,0,0
4600,0,0
4800,0,0
5000,0,0
5200,0,0
5400,0,0
5600,0,0
5800,0,0
6000,0,0
6200,0,0
6400,0,0
6600,0,0
6800,0,0
7000,0,0
7200,0,0
7400,0,0
7600,0,0
7800,0,0
# done - final fl,fr:
8000,0,0
