# debug_fl_allint v1.1 - mueve SOLO FL, 6 INT habilitados, + corriente FL
# csv_cols=t_ms,fl_ticks,fr_ticks,fl_ma
# countdown 3...2...1
# hold - SOLO FL. fl_ma>0 = motor energiza; fl_ticks=0 con fl_ma>0 = problema encoder/INT:
0,0,0,6451
200,0,0,6304
400,0,0,6451
600,0,0,6353
800,0,0,6647
1000,0,0,6598
1200,0,0,6500
1400,0,0,6500
1600,0,0,6500
1800,0,0,6842
2000,0,0,6353
2200,0,0,6353
2400,0,0,6647
2600,0,0,6353
2800,0,0,6353
3000,0,0,6549
3200,0,0,6647
3400,0,0,6207
3600,0,0,6500
3800,0,0,6500
4000,0,0,6256
4200,0,0,6549
4400,0,0,6647
4600,0,0,6451
4800,0,0,6695
5000,0,0,6598
5200,0,0,6500
5400,0,0,6598
5600,0,0,6598
5800,0,0,6256
6000,0,0,6549
6200,0,0,6500
6400,0,0,6353
6600,0,0,6744
6800,0,0,6402
7000,0,0,6304
7200,0,0,6842
7400,0,0,6451
7600,0,0,6304
7800,0,0,6647
# done - final fl,fr:
8000,0,0
