# debug_only_fl_enc v1.0 - SOLO FL motor + encoder
# csv_cols=t_ms,ticks_fl
# countdown 3...2...1
# ramp_up
# hold - ticks_fl (debe subir si el motor gira):
0,359
200,611
400,865
600,1118
800,1372
1000,1627
1200,1882
1400,2138
1600,2394
1800,2650
2000,2907
2200,3163
2400,3420
2600,3677
2800,3934
3000,4191
3200,4448
3400,4705
3600,4962
3800,5220
4000,5477
4200,5735
4400,5993
4600,6251
4800,6509
5000,6767
5200,7025
5400,7284
5600,7542
5800,7800
6000,8059
6200,8317
6400,8575
6600,8834
6800,9092
7000,9351
7200,9609
7400,9868
7600,10127
7800,10386
# ramp_down
# done - ticks final:
8000,11017
