# debug_rr_acs v1.0 - RR motor + ACS712 A4
# csv_cols=t_ms,duty,adc_raw,ma
# countdown 3...2...1
# event=baseline
0,0,707,9530
40,0,708,9579
80,0,707,9530
120,0,709,9628
160,0,706,9481
200,0,708,9579
240,0,708,9579
280,0,709,9628
320,0,705,9433
360,0,709,9628
400,0,709,9628
440,0,705,9433
480,0,707,9530
520,0,709,9628
560,0,706,9481
600,0,709,9628
640,0,706,9481
680,0,709,9628
720,0,709,9628
760,0,708,9579
800,0,706,9481
840,0,709,9628
880,0,709,9628
920,0,708,9579
960,0,706,9481
1000,0,705,9433
1040,0,704,9384
1080,0,706,9481
1120,0,709,9628
1160,0,710,9677
1200,0,707,9530
1240,0,708,9579
1280,0,708,9579
1320,0,708,9579
1360,0,709,9628
1400,0,707,9530
1440,0,705,9433
1480,0,705,9433
1520,0,706,9481
1560,0,709,9628
1600,0,709,9628
1640,0,707,9530
1680,0,706,9481
1720,0,709,9628
1760,0,709,9628
1800,0,708,9579
1840,0,707,9530
1880,0,706,9481
1920,0,708,9579
1960,0,705,9433
# event=ramp_up
2000,2,283,-11192
2040,4,280,-11339
2080,6,286,-11045
2120,8,280,-11339
2160,10,287,-10997
2200,12,284,-11143
2240,14,281,-11290
2280,16,292,-10752
2320,18,337,-8553
2360,20,289,-10899
2400,22,287,-10997
2440,24,279,-11388
2480,26,289,-10899
2520,28,284,-11143
2560,30,279,-11388
2600,32,295,-10606
2640,34,279,-11388
2680,36,283,-11192
2720,38,296,-10557
2760,40,281,-11290
2800,42,293,-10703
2840,44,299,-10410
2880,46,280,-11339
2920,48,289,-10899
2960,50,297,-10508
# event=hold
3000,50,279,-11388
3040,50,297,-10508
3080,50,282,-11241
3120,50,288,-10948
3160,50,296,-10557
3200,50,282,-11241
3240,50,296,-10557
3280,50,283,-11192
3320,50,287,-10997
3360,50,297,-10508
3400,50,280,-11339
3440,50,291,-10801
3480,50,289,-10899
3520,50,279,-11388
3560,50,297,-10508
3600,50,283,-11192
3640,50,287,-10997
3680,50,296,-10557
3720,50,279,-11388
3760,50,293,-10703
3800,50,290,-10850
3840,50,280,-11339
3880,50,296,-10557
3920,50,282,-11241
3960,50,287,-10997
4000,50,297,-10508
4040,50,280,-11339
4080,50,293,-10703
4120,50,288,-10948
4160,50,279,-11388
4200,50,297,-10508
4240,50,287,-10997
4280,50,289,-10899
4320,50,294,-10654
4360,50,276,-11534
4400,50,297,-10508
4440,50,284,-11143
4480,50,285,-11094
4520,50,297,-10508
4560,50,279,-11388
4600,50,293,-10703
4640,50,290,-10850
4680,50,279,-11388
4720,50,296,-10557
4760,50,282,-11241
4800,50,289,-10899
4840,50,296,-10557
4880,50,276,-11534
4920,50,293,-10703
4960,50,291,-10801
5000,50,283,-11192
5040,50,299,-10410
5080,50,336,-8602
5120,50,297,-10508
5160,50,282,-11241
5200,50,287,-10997
5240,50,299,-10410
5280,50,278,-11436
5320,50,288,-10948
5360,50,295,-10606
5400,50,280,-11339
5440,50,293,-10703
5480,50,289,-10899
5520,50,279,-11388
5560,50,297,-10508
5600,50,353,-7771
5640,50,293,-10703
5680,50,293,-10703
5720,50,276,-11534
5760,50,295,-10606
5800,50,287,-10997
5840,50,279,-11388
5880,50,296,-10557
5920,50,283,-11192
5960,50,282,-11241
6000,50,298,-10459
6040,50,343,-8260
6080,50,297,-10508
6120,50,291,-10801
6160,50,281,-11290
6200,50,297,-10508
6240,50,283,-11192
6280,50,288,-10948
6320,50,297,-10508
6360,50,278,-11436
6400,50,294,-10654
6440,50,359,-7478
6480,50,286,-11045
6520,50,296,-10557
6560,50,280,-11339
6600,50,293,-10703
6640,50,293,-10703
6680,50,337,-8553
6720,50,297,-10508
6760,50,283,-11192
6800,50,287,-10997
6840,50,297,-10508
6880,50,279,-11388
6920,50,292,-10752
6960,50,294,-10654
7000,50,279,-11388
7040,50,292,-10752
7080,50,291,-10801
7120,50,276,-11534
7160,50,296,-10557
7200,50,289,-10899
7240,50,280,-11339
7280,50,296,-10557
7320,50,283,-11192
7360,50,282,-11241
7400,50,298,-10459
7440,50,282,-11241
7480,50,286,-11045
7520,50,299,-10410
7560,50,279,-11388
7600,50,287,-10997
7640,50,296,-10557
7680,50,280,-11339
7720,50,293,-10703
7760,50,293,-10703
7800,50,276,-11534
7840,50,293,-10703
7880,50,290,-10850
7920,50,277,-11485
7960,50,296,-10557
8000,50,288,-10948
8040,50,281,-11290
8080,50,295,-10606
8120,50,283,-11192
8160,50,287,-10997
8200,50,298,-10459
8240,50,279,-11388
8280,50,291,-10801
8320,50,293,-10703
8360,50,277,-11485
8400,50,295,-10606
8440,50,288,-10948
8480,50,277,-11485
8520,50,297,-10508
8560,50,284,-11143
8600,50,282,-11241
8640,50,298,-10459
8680,50,342,-8308
8720,50,296,-10557
8760,50,293,-10703
8800,50,281,-11290
8840,50,297,-10508
8880,50,283,-11192
8920,50,287,-10997
8960,50,297,-10508
9000,50,278,-11436
9040,50,290,-10850
9080,50,296,-10557
9120,50,279,-11388
9160,50,292,-10752
9200,50,295,-10606
9240,50,280,-11339
9280,50,293,-10703
9320,50,296,-10557
9360,50,278,-11436
9400,50,294,-10654
9440,50,289,-10899
9480,50,277,-11485
9520,50,297,-10508
9560,50,288,-10948
9600,50,278,-11436
9640,50,296,-10557
9680,50,288,-10948
9720,50,280,-11339
9760,50,296,-10557
9800,50,284,-11143
9840,50,281,-11290
9880,50,295,-10606
9920,50,284,-11143
9960,50,282,-11241
10000,50,299,-10410
10040,50,288,-10948
10080,50,279,-11388
10120,50,279,-11388
10160,50,293,-10703
10200,50,299,-10410
10240,50,290,-10850
10280,50,279,-11388
10320,50,284,-11143
10360,50,294,-10654
10400,50,298,-10459
10440,50,289,-10899
10480,50,278,-11436
10520,50,282,-11241
10560,50,293,-10703
10600,50,299,-10410
10640,50,289,-10899
10680,50,279,-11388
10720,50,281,-11290
10760,50,292,-10752
10800,50,300,-10361
10840,50,288,-10948
10880,50,279,-11388
10920,50,280,-11339
10960,50,291,-10801
11000,50,297,-10508
11040,50,289,-10899
11080,50,283,-11192
11120,50,278,-11436
11160,50,290,-10850
11200,50,297,-10508
11240,50,293,-10703
11280,50,283,-11192
11320,50,278,-11436
11360,50,288,-10948
11400,50,296,-10557
11440,50,295,-10606
11480,50,282,-11241
11520,50,277,-11485
11560,50,287,-10997
11600,50,297,-10508
11640,50,297,-10508
11680,50,282,-11241
11720,50,339,-8455
11760,50,293,-10703
11800,50,298,-10459
11840,50,289,-10899
11880,50,279,-11388
11920,50,282,-11241
11960,50,292,-10752
12000,50,299,-10410
12040,50,288,-10948
12080,50,281,-11290
12120,50,280,-11339
12160,50,294,-10654
12200,50,300,-10361
12240,50,288,-10948
12280,50,280,-11339
12320,50,279,-11388
12360,50,294,-10654
12400,50,296,-10557
12440,50,290,-10850
12480,50,282,-11241
12520,50,279,-11388
12560,50,290,-10850
12600,50,296,-10557
12640,50,295,-10606
12680,50,282,-11241
12720,50,279,-11388
12760,50,288,-10948
12800,50,297,-10508
12840,50,354,-7722
12880,50,278,-11436
12920,50,294,-10654
12960,50,297,-10508
# event=ramp_down
13000,48,288,-10948
13040,46,298,-10459
13080,44,297,-10508
13120,42,296,-10557
13160,40,349,-7966
13200,38,277,-11485
13240,36,280,-11339
13280,34,285,-11094
13320,32,295,-10606
13360,30,292,-10752
13400,28,290,-10850
13440,26,286,-11045
13480,24,280,-11339
13520,22,279,-11388
13560,20,281,-11290
13600,18,284,-11143
13640,16,285,-11094
13680,14,284,-11143
13720,12,285,-11094
13760,10,283,-11192
13800,8,281,-11290
13840,6,281,-11290
13880,4,282,-11241
13920,2,283,-11192
13960,0,282,-11241
# event=idle
14000,0,710,9677
14040,0,711,9726
14080,0,710,9677
14120,0,708,9579
14160,0,711,9726
14200,0,709,9628
14240,0,708,9579
14280,0,711,9726
14320,0,709,9628
14360,0,708,9579
14400,0,711,9726
14440,0,707,9530
14480,0,709,9628
14520,0,711,9726
14560,0,708,9579
14600,0,711,9726
14640,0,708,9579
14680,0,708,9579
14720,0,711,9726
14760,0,708,9579
14800,0,709,9628
14840,0,709,9628
14880,0,707,9530
14920,0,710,9677
14960,0,708,9579
15000,0,708,9579
15040,0,710,9677
15080,0,707,9530
15120,0,710,9677
15160,0,710,9677
15200,0,706,9481
15240,0,709,9628
15280,0,708,9579
15320,0,707,9530
15360,0,710,9677
15400,0,707,9530
15440,0,708,9579
15480,0,709,9628
15520,0,707,9530
15560,0,710,9677
15600,0,707,9530
15640,0,708,9579
15680,0,710,9677
15720,0,707,9530
15760,0,708,9579
15800,0,709,9628
15840,0,707,9530
15880,0,709,9628
15920,0,709,9628
15960,0,706,9481
# done
16000,0,709,9628
16500,0,709,9628
17000,0,707,9530
17500,0,708,9579
18000,0,706,9481
18500,0,706,9481
19000,0,709,9628
19500,0,707,9530
