# debug_fl_allint v1.1 - mueve SOLO FL, 6 INT habilitados, + corriente FL
# csv_cols=t_ms,fl_ticks,fr_ticks,fl_ma
# countdown 3...2...1
# hold - SOLO FL. fl_ma>0 = motor energiza; fl_ticks=0 con fl_ma>0 = problema encoder/INT:
0,379,0,733
200,638,0,-928
400,897,0,-439
600,1156,0,439
800,1416,0,488
1000,1676,0,488
1200,1936,0,391
1400,2196,0,-48
1600,2456,0,195
1800,2716,0,-342
2000,2976,0,-879
2200,3236,0,-733
2400,3496,0,879
2600,3757,0,195
2800,4017,0,-244
3000,4277,0,-977
3200,4537,0,146
3400,4797,0,195
3600,5057,0,733
3800,5318,0,-146
4000,5578,0,-1124
4200,5838,0,635
4400,6099,0,439
4600,6359,0,-439
4800,6619,0,-782
5000,6879,0,439
5200,7140,0,146
5400,7400,0,-342
5600,7660,0,-391
5800,7920,0,488
6000,8181,0,-195
6200,8441,0,-1026
6400,8701,0,391
6600,8962,0,244
6800,9222,0,-879
7000,9482,0,-195
7200,9742,0,830
7400,10003,0,-195
7600,10263,0,-146
7800,10524,0,0
# done - final fl,fr:
8000,11149,0
