# debug_only_fr_enc v1.0 - FR vs FL mismo duty, solo INT0+INT1
# csv_cols=t_ms,fr_ticks,fl_ticks,fr_d,fl_d,ratio_x100
# countdown 3...2...1
# hold - FR y FL al mismo duty. ratio~100=ok, ~200=FR sobre-cuenta:
0,-2140,-2613,0,0,-1
200,-2795,-2350,-655,263,249
400,-3453,-2085,-658,265,248
600,-4111,-1820,-658,265,248
800,-4769,-1555,-658,265,248
1000,-5427,-1289,-658,266,247
1200,-6085,-1023,-658,266,247
1400,-6743,-757,-658,266,247
1600,-7400,-491,-657,266,246
1800,-8057,-225,-657,266,246
2000,-8714,41,-657,266,246
2200,-9371,306,-657,265,247
2400,-10028,572,-657,266,246
2600,-10685,838,-657,266,246
2800,-11343,1104,-658,266,247
3000,-12001,1370,-658,266,247
3200,-12659,1637,-658,267,246
3400,-13317,1903,-658,266,247
3600,-13976,2170,-659,267,246
3800,-14635,2436,-659,266,247
4000,-15292,2702,-657,266,246
4200,-15951,2969,-659,267,246
4400,-16609,3235,-658,266,247
4600,-17266,3501,-657,266,246
4800,-17924,3768,-658,267,246
5000,-18582,4034,-658,266,247
5200,-19240,4301,-658,267,246
5400,-19898,4567,-658,266,247
5600,-20556,4834,-658,267,246
5800,-21215,5100,-659,266,247
# done - final fr,fl:
6000,-24084,5743
