# debug_hcsr04_d38 v1.0 - HC-SR04 D38(Trig)/D39(Echo), rango completo
# mueve la mano: dist_mm debe seguirla
0,dist_mm=810
1,dist_mm=682
2,dist_mm=695
3,dist_mm=769
4,dist_mm=443
5,dist_mm=380
6,dist_mm=420
7,dist_mm=744
8,dist_mm=653
9,dist_mm=687
10,dist_mm=767
11,dist_mm=695
12,dist_mm=1314
13,dist_mm=357
14,dist_mm=1311
15,dist_mm=504
16,dist_mm=783
17,dist_mm=655
18,dist_mm=764
19,dist_mm=848
20,dist_mm=909
21,dist_mm=854
22,dist_mm=876
23,dist_mm=735
24,dist_mm=659
25,dist_mm=578
26,dist_mm=518
27,dist_mm=475
28,dist_mm=403
29,dist_mm=379
30,dist_mm=368
31,dist_mm=380
32,dist_mm=702
33,dist_mm=462
34,dist_mm=730
35,dist_mm=748
36,dist_mm=604
