# host_ms,kind,data
0,INFO,=== validacion MSM manual por USB (rover elevado) ===
200,RX[init],PONG
601,RX[init],TLM:NORMAL:000000:980ms:0mV:0mA:195:97:97:-48:-48:-48:0C:32:32:35:37:0:0C:0mm:0:0:0:0:0:6930mm
801,RX[init],PONG
1500,CMD,RST
1602,RX[reset],PONG
1602,RX[reset],ACK:STB
1602,RX[reset],ACK:STB
1802,RX[reset],TLM:NORMAL:000000:1980ms:0mV:0mA:48:195:0:97:0:-97:0C:33:34:38:40:0:0C:0mm:0:0:0:0:0:6940mm
2202,RX[reset],ACK:STB
2202,RX[reset],PONG
2501,CMD,EXP:50:50
2603,RX[ADELANTE],ACK:EXP
2603,RX[ADELANTE],ACK:EXP
2803,RX[ADELANTE],TLM:NORMAL:000000:2980ms:0mV:0mA:97:244:48:146:-48:-97:0C:33:35:39:41:0:0C:0mm:0:0:0:0:0:6930mm
3003,RX[ADELANTE],PONG
3204,RX[ADELANTE],ACK:EXP
3604,RX[ADELANTE],PONG
3604,RX[ADELANTE],ACK:EXP
4005,RX[ADELANTE],TLM:NORMAL:000000:3980ms:0mV:0mA:97:244:48:48:0:-97:0C:33:35:39:42:0:0C:0mm:0:0:0:0:0:6930mm
4205,RX[ADELANTE],ACK:EXP
4405,RX[ADELANTE],PONG
4606,RX[ADELANTE],ACK:EXP
5006,RX[ADELANTE],PONG
5206,RX[ADELANTE],ACK:EXP
5207,RX[ADELANTE],TLM:NORMAL:000000:4980ms:0mV:0mA:195:244:97:97:48:-97:0C:33:35:39:42:0:0C:0mm:0:0:0:0:0:6940mm
5502,CMD,EXP:-50:-50
5607,RX[ATRAS],ACK:EXP
5607,RX[ATRAS],ACK:EXP
5807,RX[ATRAS],PONG
6208,RX[ATRAS],ACK:EXP
6408,RX[ATRAS],TLM:NORMAL:000000:5980ms:0mV:0mA:-97:48:0:0:-10557:-97:0C:34:35:39:42:0:0C:0mm:1972:-4150:0:0:0:6940mm
6409,RX[ATRAS],PONG
6609,RX[ATRAS],ACK:EXP
7210,RX[ATRAS],PONG
7210,RX[ATRAS],ACK:EXP
7610,RX[ATRAS],TLM:NORMAL:000000:6980ms:0mV:0mA:-1319:-1319:0:-293:-5767:-391:0C:32:35:38:40:0:0C:0mm:742:-7633:0:0:0:6930mm
7610,RX[ATRAS],ACK:EXP
7810,RX[ATRAS],PONG
8211,RX[ATRAS],ACK:EXP
8504,CMD,EXP:0:0
8612,RX[STOP],PONG
8612,RX[STOP],ACK:EXP
8612,RX[STOP],ACK:EXP
8812,RX[STOP],TLM:NORMAL:000000:7980ms:0mV:0mA:-1368:-1515:-48:-244:-5571:-391:0C:32:35:39:40:0:0C:0mm:-5452:-5638:0:0:0:6940mm
9213,RX[STOP],ACK:EXP
9213,RX[STOP],PONG
9613,RX[STOP],ACK:EXP
9813,RX[STOP],PONG
10005,CMD,EXP:-30:30
10014,RX[IZQUIERDA],TLM:NORMAL:000000:8980ms:0mV:0mA:-146:195:97:97:-10752:48:0C:33:33:36:37:0:0C:0mm:-6889:-8917:0:0:0:6920mm
10214,RX[IZQUIERDA],ACK:EXP
10214,RX[IZQUIERDA],ACK:EXP
10615,RX[IZQUIERDA],PONG
10615,RX[IZQUIERDA],ACK:EXP
11015,RX[IZQUIERDA],ACK:EXP
11215,RX[IZQUIERDA],TLM:NORMAL:000000:9980ms:0mV:0mA:-342:-1026:-97:-342:-15933:-244:0C:33:34:38:41:0:0C:0mm:-9709:-15022:0:0:0:6980mm
11215,RX[IZQUIERDA],PONG
11616,RX[IZQUIERDA],ACK:FLT
11616,RX[IZQUIERDA],ERR:ESTOP
12016,RX[IZQUIERDA],PONG
12217,RX[IZQUIERDA],ERR:ESTOP
12417,RX[IZQUIERDA],TLM:NORMAL:000000:10980ms:0mV:0mA:-48:146:146:-48:-16129:48:0C:33:36:41:43:0:0C:0mm:-11020:-20289:0:0:0:760mm
12617,RX[IZQUIERDA],ERR:ESTOP
12617,RX[IZQUIERDA],PONG
13007,CMD,EXP:30:-30
13018,RX[DERECHA],ERR:ESTOP
13218,RX[DERECHA],ERR:ESTOP
13418,RX[DERECHA],PONG
13419,RX[DERECHA],TLM:NORMAL:000000:11980ms:0mV:0mA:-97:244:0:146:-16031:0:0C:33:35:39:43:0:0C:0mm:-11020:-24927:0:0:0:6930mm
13619,RX[DERECHA],ERR:ESTOP
14219,RX[DERECHA],PONG
14220,RX[DERECHA],ERR:ESTOP
14620,RX[DERECHA],TLM:NORMAL:000000:12980ms:0mV:0mA:-48:146:48:0:-15982:-97:0C:33:37:40:43:0:0C:0mm:-11020:-29544:0:0:0:6930mm
14620,RX[DERECHA],ERR:ESTOP
14820,RX[DERECHA],PONG
15221,RX[DERECHA],ERR:ESTOP
15621,RX[DERECHA],PONG
15621,RX[DERECHA],ERR:ESTOP
15621,RX[DERECHA],TLM:NORMAL:000000:13980ms:0mV:0mA:-146:97:97:97:-16031:0:0C:32:34:39:43:0:0C:0mm:-11020:-34176:0:0:0:6940mm
16008,CMD,EXP:0:0
16022,RX[STOP_FINAL],ERR:ESTOP
16222,RX[STOP_FINAL],ERR:ESTOP
16222,RX[STOP_FINAL],PONG
16623,RX[STOP_FINAL],ERR:ESTOP
