local_ts,safety,stall_mask,tick_ms,batt_mv,batt_ma,curr_0,curr_1,curr_2,curr_3,curr_4,curr_5,temp_c,batt_t_0,batt_t_1,batt_t_2,batt_t_3,batt_t_4,batt_t_5,dist_mm,enc_l,enc_r,x_mm,y_mm,theta_mrad,dist_far_mm
1777182673.7652566,WARN,000000,480,0,0,-6525,-7080,-7450,-7688,-7661,-7080,0,48,46,46,46,45,46,0,0,0,0,0,-2,0
1777182674.8154566,WARN,000000,980,0,0,-6446,-6948,-7318,-7582,-7688,-7476,0,49,47,46,46,45,46,0,0,0,0,0,5,0
1777182674.82658,WARN,000000,980,0,0,-6446,-6948,-7318,-7582,-7688,-7476,0,49,47,46,46,45,46,0,0,0,0,0,5,0
1777182675.90792,LIMIT,000000,1480,0,0,-5733,-5706,-5759,-5812,-5917,-6023,0,48,51,53,57,59,60,0,0,0,0,0,21,0
1777182676.9882462,LIMIT,000000,1980,0,0,-6895,-6736,-6367,-6076,-5838,-5521,0,45,46,46,46,47,50,0,0,0,0,0,71,0
1777182676.9997883,LIMIT,000000,1980,0,0,-6895,-6736,-6367,-6076,-5838,-5521,0,45,46,46,46,47,50,0,0,0,0,0,71,0
1777182678.0862699,LIMIT,000000,2480,0,0,-7159,-7397,-7503,-7344,-6921,-6234,0,47,46,46,46,45,46,0,0,0,0,0,136,0
1777182679.170873,LIMIT,000000,2980,0,0,-7503,-7608,-7450,-7133,-6578,-6023,0,47,46,46,46,46,46,0,0,0,0,0,152,0
1777182679.182542,LIMIT,000000,2980,0,0,-7503,-7608,-7450,-7133,-6578,-6023,0,47,46,46,46,46,46,0,0,0,0,0,152,0
1777182680.2648547,LIMIT,000000,3480,0,0,-5812,-5706,-5653,-5785,-6287,-7186,0,57,58,56,53,50,48,0,0,0,0,0,152,0
1777182681.347938,LIMIT,000000,3980,0,0,-5600,-5680,-5706,-5759,-5970,-6604,0,56,58,58,56,53,50,0,0,0,0,0,169,0
1777182681.3596447,LIMIT,000000,3980,0,0,-5600,-5680,-5706,-5759,-5970,-6604,0,56,58,58,56,53,50,0,0,0,0,0,169,0
1777182682.4456854,LIMIT,000000,4480,0,0,-5733,-5812,-5865,-5917,-5944,-5997,0,51,55,57,59,60,59,0,0,0,0,0,164,0
1777182683.511956,LIMIT,000000,4980,0,0,-5733,-5733,-5733,-5759,-5785,-5997,0,48,52,54,57,59,60,0,0,0,0,0,165,0
1777182683.5236282,LIMIT,000000,4980,0,0,-5733,-5733,-5733,-5759,-5785,-5997,0,48,52,54,57,59,60,0,0,0,0,0,165,0
1777182684.6067832,LIMIT,000000,5480,0,0,-7238,-7397,-7238,-6895,-6367,-5838,0,46,46,46,46,45,46,0,0,0,0,0,158,0
1777182685.6932595,LIMIT,000000,5980,0,0,-6710,-6234,-5917,-5785,-5759,-5759,0,46,47,46,47,50,53,0,0,0,0,0,169,0
1777182685.7049134,LIMIT,000000,5980,0,0,-6710,-6234,-5917,-5785,-5759,-5759,0,46,47,46,47,50,53,0,0,0,0,0,169,0
1777182686.7908785,LIMIT,000000,6480,0,0,-7212,-7529,-7476,-7159,-6578,-5812,0,46,46,46,45,45,46,0,0,0,0,0,206,0
1777182687.8707914,LIMIT,000000,6980,0,0,-5865,-6367,-6948,-7450,-7820,-8110,0,52,48,47,46,46,46,0,0,0,0,0,76,0
1777182687.8824098,LIMIT,000000,6980,0,0,-5865,-6367,-6948,-7450,-7820,-8110,0,52,48,47,46,46,46,0,0,0,0,0,76,0
1777182688.9571085,LIMIT,000000,7480,0,0,-7291,-7555,-7714,-7661,-7238,-6499,0,47,46,46,46,45,46,0,0,0,0,0,73,0
1777182690.0159712,LIMIT,000000,7980,0,0,-5733,-5653,-5600,-5574,-5653,-5970,0,53,56,58,59,60,58,0,0,0,0,0,72,0
1777182690.0275488,LIMIT,000000,7980,0,0,-5733,-5653,-5600,-5574,-5653,-5970,0,53,56,58,59,60,58,0,0,0,0,0,72,0
1777182691.1012347,LIMIT,000000,8480,0,0,-5600,-5653,-5653,-5680,-5759,-6287,0,56,58,59,58,55,52,0,0,0,0,0,71,0
1777182692.180074,LIMIT,000000,8980,0,0,-6234,-5838,-5680,-5653,-5733,-5891,0,46,47,47,50,53,57,0,0,0,0,0,71,0
1777182692.1916096,LIMIT,000000,8980,0,0,-6234,-5838,-5680,-5653,-5733,-5891,0,46,47,47,50,53,57,0,0,0,0,0,71,0
1777182693.266197,LIMIT,000000,9480,0,0,-5680,-5680,-5706,-5706,-5733,-5917,0,48,52,55,57,59,61,0,0,0,0,0,71,0
1777182694.3426046,LIMIT,000000,9980,0,0,-7001,-7344,-7555,-7661,-7450,-6921,0,48,47,46,46,45,46,0,0,0,0,0,71,0
1777182694.3541796,LIMIT,000000,9980,0,0,-7001,-7344,-7555,-7661,-7450,-6921,0,48,47,46,46,45,46,0,0,0,0,0,71,0
1777182695.4370182,LIMIT,000000,10480,0,0,-5812,-5838,-5812,-5838,-5891,-6314,0,56,58,59,58,55,52,0,0,0,0,0,71,0
1777182696.5167007,LIMIT,000000,10980,0,0,-5785,-5733,-5706,-5706,-5706,-5838,0,46,48,49,53,56,59,0,0,0,0,0,71,0
1777182696.528424,LIMIT,000000,10980,0,0,-5785,-5733,-5706,-5706,-5706,-5838,0,46,48,49,53,56,59,0,0,0,0,0,71,0
1777182697.6080694,LIMIT,000000,11480,0,0,-5653,-5865,-6340,-6895,-7450,-8005,0,55,51,49,47,46,47,0,0,0,0,0,71,0
1777182698.6831343,LIMIT,000000,11980,0,0,-6499,-6076,-5812,-5733,-5759,-5838,0,46,47,47,48,51,55,0,0,0,0,0,71,0
1777182698.6948087,LIMIT,000000,11980,0,0,-6499,-6076,-5812,-5733,-5759,-5838,0,46,47,47,48,51,55,0,0,0,0,0,71,0
1777182699.773146,LIMIT,000000,12480,0,0,-5838,-5706,-5653,-5680,-5970,-6816,0,57,58,58,56,53,50,0,0,0,0,0,72,0
1777182700.8518498,LIMIT,000000,12980,0,0,-5785,-5706,-5706,-5759,-5785,-5891,0,46,47,48,51,55,58,0,0,0,0,0,72,0
1777182700.863554,LIMIT,000000,12980,0,0,-5785,-5706,-5706,-5759,-5785,-5891,0,46,47,48,51,55,58,0,0,0,0,0,72,0
1777182701.9451776,LIMIT,000000,13480,0,0,-6604,-7053,-7476,-7767,-7952,-7952,0,51,48,47,47,46,46,0,0,0,0,0,72,0
1777182703.024253,LIMIT,000000,13980,0,0,-5812,-5706,-5627,-5627,-5838,-6631,0,56,58,58,57,54,51,0,0,0,0,0,72,0
1777182703.0359957,LIMIT,000000,13980,0,0,-5812,-5706,-5627,-5627,-5838,-6631,0,56,58,58,57,54,51,0,0,0,0,0,72,0
1777182704.1186194,LIMIT,000000,14480,0,0,-6419,-6102,-5865,-5759,-5733,-5706,0,46,47,46,47,50,54,0,0,0,0,0,120,0
1777182705.1920433,LIMIT,000000,14980,0,0,-5917,-5917,-5917,-5917,-6102,-6710,0,56,58,58,56,53,50,0,0,0,0,0,168,0
1777182705.2038932,LIMIT,000000,14980,0,0,-5917,-5917,-5917,-5917,-6102,-6710,0,56,58,58,56,53,50,0,0,0,0,0,168,0
1777182706.2822027,LIMIT,000000,15480,0,0,-7053,-7423,-7635,-7582,-7186,-6340,0,47,46,46,46,46,46,0,0,0,0,0,205,0
1777182707.365522,LIMIT,000000,15980,0,0,-7053,-7371,-7529,-7503,-7212,-6604,0,48,47,46,46,46,46,0,0,0,0,0,230,0
1777182707.3773484,LIMIT,000000,15980,0,0,-7053,-7371,-7529,-7503,-7212,-6604,0,48,47,46,46,46,46,0,0,0,0,0,230,0
1777182708.4628773,LIMIT,000000,16480,0,0,-6102,-6446,-6895,-7371,-7740,-8110,0,54,50,48,47,47,47,0,0,0,0,0,248,0
1777182709.546383,LIMIT,000000,16980,0,0,-5812,-6076,-6552,-7133,-7635,-8110,0,54,50,48,47,47,47,0,0,0,0,0,270,0
1777182709.5581942,LIMIT,000000,16980,0,0,-5812,-6076,-6552,-7133,-7635,-8110,0,54,50,48,47,47,47,0,0,0,0,0,270,0
1777182710.6466467,LIMIT,000000,17480,0,0,-5785,-6155,-6631,-7159,-7582,-8031,0,54,50,48,47,47,46,0,0,0,0,0,291,0
1777182711.7442167,LIMIT,000000,17980,0,0,-5865,-5865,-5891,-5997,-6367,-7027,0,57,58,56,54,51,49,0,0,0,0,0,280,0
1777182711.7560675,LIMIT,000000,17980,0,0,-5865,-5865,-5891,-5997,-6367,-7027,0,57,58,56,54,51,49,0,0,0,0,0,280,0
