local_ts,tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,enc_l,enc_r
1777182672.7879689,0,-1683,15012,7080,-152,261,-198,0,0
1777182672.82215,20,-1683,15062,7015,-125,267,-170,0,0
1777182672.8562381,40,-1681,15055,7073,-137,268,-181,0,0
1777182672.8925388,60,-1710,15014,7056,-137,270,-180,0,0
1777182672.926681,80,-1704,15037,7012,-129,276,-180,0,0
1777182672.9609065,100,-1687,15045,6998,-125,267,-184,0,0
1777182672.9982827,120,-1743,15023,7039,-134,261,-169,0,0
1777182673.032511,140,-1695,15033,6975,-150,264,-176,0,0
1777182673.0673347,160,-1836,14676,7676,-7611,-471,-1027,0,0
1777182673.1111252,180,-1416,15082,7188,744,444,1256,0,0
1777182673.1521413,200,-1690,14588,8559,-326,-117,-749,0,0
1777182673.1927545,220,-1470,15274,6240,1977,736,639,0,0
1777182673.2367256,240,-1703,14846,7292,5770,422,846,0,0
1777182673.2777915,260,-1475,15209,6601,-1269,476,-925,0,0
1777182673.3184965,280,-1659,14873,7399,-248,291,-57,0,0
1777182673.362823,300,-1643,14889,7247,-2236,-234,-639,0,0
1777182673.4036036,320,-1615,15015,7019,-2580,-38,-216,0,0
1777182673.444626,340,-1623,14630,7896,-5414,-571,-517,0,0
1777182673.4886973,360,-1695,14480,8164,-7603,-448,-993,0,0
1777182673.5298512,380,-1712,14148,8963,-7841,-1993,-1002,0,0
1777182673.5709758,400,-1648,14111,9335,-2284,334,-722,0,0
1777182673.6151004,420,-1617,13962,9175,1185,1094,304,0,0
1777182673.6562665,440,-1660,14102,9092,4572,1416,1376,0,0
1777182673.6970885,460,-1254,14231,8921,3298,427,-353,0,0
1777182673.74096,480,-1655,14401,8438,1941,554,65,0,0
1777182673.8060796,500,-1546,14477,8426,-563,248,-517,0,0
1777182673.8464215,520,-1661,14507,8242,60,60,733,0,0
1777182673.8905337,540,-1585,14405,8406,-2637,137,-499,0,0
1777182673.9314926,560,-3095,12902,10510,-3061,80,-1953,0,0
1777182673.9727545,580,-2598,14596,7898,10506,2913,1664,0,0
1777182674.0166576,600,-1644,14914,7181,1090,439,-242,0,0
1777182674.057265,620,-1648,14874,7364,-847,249,-270,0,0
1777182674.097799,640,-1649,14872,7492,1382,271,-25,0,0
1777182674.1413796,660,-1608,14947,7147,767,354,29,0,0
1777182674.181993,680,-1606,14985,7257,973,266,-114,0,0
1777182674.222549,700,-1629,14849,7597,-2379,-1,-481,0,0
1777182674.2598474,720,-1613,14989,6977,976,409,-51,0,0
1777182674.293914,740,-1857,14585,8392,2,-306,-101,0,0
1777182674.328683,760,-2113,14873,7616,2882,-1313,-325,0,0
1777182674.3727098,780,-3411,15752,6449,669,-1531,920,0,0
1777182674.4137342,800,-2196,14768,7949,173,-1529,-245,0,0
1777182674.4546392,820,414,14604,5921,1621,-636,-1693,0,0
1777182674.4989064,840,-1612,15151,6124,-6323,46,-1047,0,0
1777182674.5398202,860,-2061,15046,7296,-4807,600,-72,0,0
1777182674.5806344,880,-1375,15152,6877,-223,1098,-19,0,0
1777182674.624511,900,-1554,15145,6671,1564,431,97,0,0
1777182674.6654894,920,-1597,14935,7338,-1517,133,-349,0,0
1777182674.7061186,940,-1591,15030,7099,792,403,-72,0,0
1777182674.749945,960,-1612,15043,6962,72,261,-138,0,0
1777182674.7911987,980,-1562,15208,6466,-24045,432,-398,0,0
1777182674.867877,1000,-1823,14388,8991,-5149,3221,-350,0,0
1777182674.9122667,1020,-2244,13312,10274,-1645,101,238,0,0
1777182674.953041,1040,-1885,13833,9357,-607,166,-24,0,0
1777182674.9944477,1060,-3447,14745,8088,8336,4337,3417,0,0
1777182675.0387125,1080,-1304,13919,9009,11628,761,505,0,0
1777182675.0798433,1100,-1627,15313,5499,7139,954,1198,0,0
1777182675.121086,1120,-1572,14954,7104,-2136,417,-439,0,0
1777182675.1655173,1140,-6447,14517,7474,-5574,1149,-707,0,0
1777182675.2067327,1160,-2307,14784,7672,-4912,755,-997,0,0
1777182675.247802,1180,-444,14438,8458,-5085,2139,-63,0,0
1777182675.2921216,1200,-2014,14522,8004,-925,2941,1232,0,0
1777182675.3332994,1220,-997,13964,10226,5819,971,1420,0,0
1777182675.3744893,1240,-1612,14922,6503,12845,503,415,0,0
1777182675.4186847,1260,-1564,15033,6780,-483,147,-467,0,0
1777182675.4596696,1280,-1580,14941,7294,512,412,-133,0,0
1777182675.5005937,1300,-1562,15043,6958,1109,283,-17,0,0
1777182675.5446272,1320,-1504,15301,6223,-667,548,44,0,0
1777182675.5855381,1340,-1594,14973,7332,-1170,259,30,0,0
1777182675.6267302,1360,-1670,14797,7510,1639,-430,-727,0,0
1777182675.6715744,1380,-3424,13988,8817,-4988,-5281,-3034,0,0
1777182675.7130094,1400,-2036,15530,6991,2937,-972,-361,0,0
1777182675.7540543,1420,-1696,15062,7060,998,-707,-541,0,0
1777182675.798142,1440,-1696,14798,7325,-340,290,-246,0,0
1777182675.8393226,1460,-1971,14104,9530,7247,-355,230,0,0
1777182675.8801188,1480,-1577,15077,6807,972,310,-85,0,0
1777182675.9490771,1500,-1593,14978,7103,-137,261,-218,0,0
1777182675.9897077,1520,-1541,15059,6989,761,359,-58,0,0
1777182676.0306966,1540,-1522,15106,6935,-714,208,-257,0,0
