local_ts,safety,stall_mask,tick_ms,batt_mv,batt_ma,curr_0,curr_1,curr_2,curr_3,curr_4,curr_5,temp_c,batt_t_0,batt_t_1,batt_t_2,batt_t_3,batt_t_4,batt_t_5,dist_mm,enc_l,enc_r,x_mm,y_mm,theta_mrad,dist_far_mm
1777177224.0316424,LIMIT,000000,480,0,0,-5785,-5733,-5785,-5812,-5917,-6129,0,49,53,55,57,58,59,0,0,0,0,0,0,0
1777177224.584711,LIMIT,000000,980,0,0,-6076,-6050,-6076,-6102,-6314,-6869,0,57,58,57,56,53,52,0,0,0,0,0,0,0
1777177224.5959895,LIMIT,000000,980,0,0,-6076,-6050,-6076,-6102,-6314,-6869,0,57,58,57,56,53,52,0,0,0,0,0,0,0
1777177225.1523092,LIMIT,000000,1480,0,0,-6287,-6340,-6367,-6499,-6789,-7318,0,58,58,55,53,51,50,0,0,0,0,0,0,0
1777177225.705478,LIMIT,000000,1980,0,0,-6340,-6684,-7053,-7344,-7608,-7846,0,52,49,48,48,48,48,0,0,0,0,0,0,0
1777177225.7168489,LIMIT,000000,1980,0,0,-6340,-6684,-7053,-7344,-7608,-7846,0,52,49,48,48,48,48,0,0,0,0,0,0,0
1777177226.27,LIMIT,000000,2480,0,0,-6076,-6102,-6287,-6631,-7133,-7688,0,57,55,52,50,49,49,0,0,0,0,0,0,0
1777177226.8263004,LIMIT,000000,2980,0,0,-7371,-7238,-7027,-6710,-6446,-6208,0,47,48,48,48,48,48,0,0,0,0,0,0,0
1777177226.8376427,LIMIT,000000,2980,0,0,-7371,-7238,-7027,-6710,-6446,-6208,0,47,48,48,48,48,48,0,0,0,0,0,0,0
1777177227.390808,LIMIT,000000,3480,0,0,-7053,-7265,-7450,-7503,-7344,-6869,0,49,48,48,47,47,48,0,0,0,0,0,0,0
1777177227.9439564,LIMIT,000000,3980,0,0,-6895,-6842,-6684,-6525,-6340,-6076,0,47,48,47,47,48,51,0,0,0,0,0,0,0
1777177227.9553945,LIMIT,000000,3980,0,0,-6895,-6842,-6684,-6525,-6340,-6076,0,47,48,47,47,48,51,0,0,0,0,0,0,0
1777177228.5116653,LIMIT,000000,4480,0,0,-6763,-6525,-6393,-6340,-6314,-6314,0,48,48,48,49,51,55,0,0,0,0,0,0,0
1777177229.0648556,LIMIT,000000,4980,0,0,-6261,-6208,-6208,-6208,-6287,-6499,0,52,55,57,58,58,58,0,0,0,0,0,0,0
1777177229.0762343,LIMIT,000000,4980,0,0,-6261,-6208,-6208,-6208,-6287,-6499,0,52,55,57,58,58,58,0,0,0,0,0,0,0
